review,prediction
It's McDonald's so I don't expect much if anything but the people running this one don't have a care in the world. Staff walking around in the back wearing scruffy old pyjamas looking street wear. (ie not the uniform and not even clean looking personal clothes) No hairnets. Kiosks not working. Slow service at the counter and long wait for food. Missing items. I could go on.,Negative
"Waited more than 20 mins, trying to make order but they just keep saying"" be right with you"" to finally tell me they dont have what i wanted.",Negative
"This Balboa McDonald is one of the worst in town. I don know why I keep going back. Well not anymore. Today mess up after a long slow line and being asked to pull up and wait, I got home and was missing 2 cheeseburgers . Clearly on my",Negative
"Probably the worst customer service of any McDonalds in the Metro Orlando area. Honestly, they should shut it down. Horribly slow and inefficient and they just don't care.",Negative
Terrible customer service. Ruby was one of the rudest people I,Negative
Terrible,Negative
Poor ,Negative
Very  dirty place !!! Manager is really really really Rude so will never go Again ,Negative
Just got back from extremely long drive through. Cold fries and dry old nuggets. Whataburger is around the corner.,Negative
"Lobby was closed with no sign or reason why, no curbside spots and super long drive thru wait. Attempts to call to see why lobby was closed but no one would answer the phone.",Negative
This location needs serious rehabbing. Only drive thru service. The line was wrapped around building and onto the street. My food was cold fries old n refried burned...smh... NEVA AGAIN,Negative
I was light headed. I figured let me stop at this McDonald's seeing that its on my way home and close by. I was surprised the shake machine was up and running. I ordered large fries and a Strawberry milkshake. I paid to much money for a little nit of food. My fries had way too much salt on them. Because they mixed fresh fries with fries that wrre sitting out basically old kinda stale. The milkshake had vanilla at the bottom with Strawberry on top. But that nits what kinda upset me it was the size of the shake. I was asked what size I wanted. Of course I was confused. I guess all McDonald's are not the same. I said small. But the cup I received was a cup size you order off the dollar menu. And I was charged like 5 bucks for it. Smh. Never again. I thought shake size was only small or large.  Not a baby cup size.,Negative
My cup was fingered by the cashier.   Two stars because he gave a new one when I asked.,Negative
"Never gave me the drinks I ordered. Gave me the wrong ones and never bothered to rectify my complaint. Very disorganized. The woman who I complained to was very bad mannered, didn't have good customer service skills.",Negative
"Very slow customer service, 2nd day in a row that they are out of orange juice. Not up to standards",Negative
Not as good as it used to be for sure,Negative
Kids love McDonald's but when people making drug deals in the parking lot there is an issue.,Negative
Waited 30 min in the drive through and did not even move. Rude cashier and no salt even on fries. Lol and they want to make $15 an hour! Comical,Negative
It was filthy,Negative
If the app says you can dine in there than you should be able to dine inside,Negative
"Usually I don't have time to eat at McDonalds. So I take food to-go. This is not the first time that I order something and I get something. These people always miss something from the order and since its to-go, I can't even go back and tell them. It happened like 5-6th so far. Very poor service from this McD.

Hopefully they read this and do something about it.",Negative
Typical,Negative
"Poor service, cold product nothing was good about my last visit",Negative
"Terrible experience. Came this morning at 4:28am, no egg whites, no scrambled eggs for big breakfast. Long story short.. waited almost 25 minutes to get the order. Unacceptable",Negative
"Average food, except they don't fill the fry containers all the way. The large is a medium at best. The bathrooms are horrible.  Someone had taken a dump in the corner and there it laid. Yuk.",Negative
Customer service badd the food is horrible,Negative
"Staff were swearing on the tills, wandering around in non uniform and using their phones. The girl on the till in the ferrari jumper was flat out ignoring me as I tried to order as she was busy sending Whatapps to friends and the few people who seem to actually care and work hard are stressed as they work with slackers.",Negative
Slow and food was cold,Negative
Food is poor...service is bad...long wait for food,Negative
The continents glide across the earth faster than the line moves here. Food was good at least,Positive
Didn't go here,Negative
Warning!! Use drive-thru ONLY! There is a Predatory Towing Company (ABC Towing)  that WILL boot your car! And force you to pay CASH ONLY to have the boot removed.,Negative
"Order was screwed up, and the hash browns in both combo meals were barely cooked to just above raw.
Amazing their staff could screw up two breakfast meals in the same order in an automated process. SAD.",Negative
"Absolutely TERRIBLE customer service is an understatement. The manager screams at everyone who is a customer. To me his young pond has no experience in customer service, I have never been to a place had experienced such a terribly trained and terribly managed location, this is very true. I have gone through drive threw and walked in. To see bad people working there, just do not care. I did send message to McDonald's Company, hopefully someone will see what",Positive
Poor ,Negative
The staff is unfriendly and very slow.,Negative
"Gave me the wrong drink, after 3 request",Negative
"Too many homeless people that kept walking in and out of this location, we couldn't eat comfortably because they smelled so bad as they passed by. I understand they can't help it due to their situation but if you have a hard time tolerating body odor of various homeless people walking back and forth in this McDonald's location then you should definitely avoid this location.",Negative
"This McDonald chicken sandwich tasted like they changed the cooking oil once a year nasty
Plus they always forget something by th",Negative
They closed the drive thru early and would not take my order made me sit in the line for 15 mins before speaking and telling me there closed at 1:55,Negative
This location fed me raw chicken. I ordered spaghetti with McCrispy and half way through the McCrispy it turns out raw.,Negative
Blonde Maddison lady had the meanest additude i asked for fresh fries and I got soggy old fries,Negative
Drive thru too slow,Negative
The biscuit was very bad,Negative
They had no remorse for people person like me and decentcy come with more smell with people like homelessness in mcds these days we needed help. Tamn I hated with all passion . I better off save my cash.shes,Negative
Ordered their signature Double BBQ Burger tonight at the drive thru... One patty wasn't even cooked.... The buns were burnt black instead of toasted. Fries came out cold. My wife ordered a #6 Chicken Nuggets with BBQ sauce.... Didn't get her sauce and nuggets were cold as well. HORRIBLE SERVICE!!!,Negative
Worst most disrespectful group on of individuals I have ever met in my entire adult life. This includes the manager who was working at 11:00am Sunday 4-15-22 who decided she couldn be bothered t,Negative
